x,y,z,t
-12.725831784874186,-19.960600838189773,22.78607470812356,63.15
-13.432966441784817,-20.310143376198027,24.789157176195435,63.16
-14.09364681363817,-20.403540151454045,26.903513900402498,63.17
-14.686343858810174,-20.198532016068846,29.083866537940665,63.18
-15.187624656292597,-19.673030866222327,31.2616203356326,63.19
-15.575589926857825,-18.816450889986896,33.36465884817621,63.2
-15.828393523139358,-17.633047496488267,35.314436260581935,63.21
-15.931187384849714,-16.162676216160918,37.03823215128597,63.22
-15.871882727516446,-14.45336564841162,38.468811828995,63.23
-15.646843969387746,-12.576773141465871,39.56020294345985,63.24
-15.26047494870343,-10.61236855342774,40.29060256562424,63.25
-14.72227962899717,-8.642359315836368,40.65338292989128,63.26
-14.051263009658525,-6.737753284382907,40.67613037075585,63.27
-13.268349168792362,-4.963209142619024,40.39376055032297,63.28
-12.399214816856581,-3.3621309921590328,39.856760438122116,63.29
-11.469903102939112,-1.9616374364054185,39.12026011075491,63.3
-10.50597114766025,-0.77284729921746,38.23781880103049,63.31
-9.530700028875863,0.20796445661773538,37.258401674538504,63.32
-8.56445895437607,0.9936366127303817,36.22337446165025,63.33
-7.6241100944876,1.6040240620587085,35.16586835231507,63.34
-6.722592477255304,2.0622175118138606,34.110138734144904,63.35
-5.869909237863253,2.3924507752257824,33.07424997855092,63.36
-5.071908896715013,2.6176171676368503,32.06841061131258,63.37
-4.332650664154735,2.759429053423938,31.099651658004927,63.38
-3.653566113910808,2.8369115604819757,30.171081604134784,63.39
-3.034155434229787,2.866364376536473,29.28310946237723,63.4
-2.472677860189543,2.861693328043601,28.434856425363233,63.41
-1.966212943692406,2.8340350323826433,27.624334213229275,63.42
-1.5113460967906822,2.7929955759728533,26.84926438636425,63.43
-1.1040006001507936,2.745594789093695,26.10712869843599,63.44
-0.7399991224956604,2.6980148871944842,25.39546279136546,63.45
-0.41501374349735426,2.654470243047649,24.712059609621214,63.46
-0.12472508975639714,2.61863559309013,24.054831039980524,63.47
0.13497681842976003,2.5930832774846158,23.42204981796329,63.48
0.3681153675687649,2.5797130194748217,22.812214946010585,63.49
0.5784754316188344,2.5801019008724286,22.22402287133944,63.5
0.7695497163609551,2.5952690873494135,21.656476005126716,63.51
0.9446471593386111,2.626103625020685,21.10870364676717,63.52
1.1067498310987334,2.6731959331045014,20.580106994623332,63.53
1.2587621457712717,2.7370798697791447,20.070149879475906,63.54
1.403206369421938,2.818282420370287,19.57851636128711,63.55
1.5424817626207104,2.9172648877762586,19.105026601026804,63.56
1.6788257997610843,3.034557607436969,18.649580431033005,63.57
1.8142273022925084,3.170790881514897,18.212319563542717,63.58
1.950672800411159,3.3265935618085773,17.793433592690445,63.59
2.089944227465864,3.5027635281366765,17.393258417304008,63.6
2.2337242406918345,3.7002633563698666,17.012411913334514,63.61
2.3837139814387602,3.9200601265584654,16.65154494528225,63.62
2.5414562107875396,4.163327458807977,16.311518434351143,63.63
2.708506452175069,4.431416301631971,15.993619941204338,63.64
2.886454324035433,4.725674656615953,15.699186493641763,63.65
3.076789739661021,5.047599338165572,15.429721496196628,63.66
3.281021773199898,5.398846921349249,15.187499459122979,63.67
3.5007423329924556,5.781031762624194,14.975003781102265,63.68
3.7375233164739727,6.195815516267011,14.794739888462775,63.69
3.9928490444917077,6.644920887092878,14.650061711577962,63.7
4.268293457199602,7.129644450493888,14.545328906864052,63.71
4.565446129285051,7.651232065642877,14.484954842275236,63.72
4.885881917990773,8.21098734252356,14.473516810418614,63.73
